"WARD_CODE","Rall","Rallr","Call","Callr","Pall","Pallr","Ccumall","Pcumall"
1,-0.623068349101864,4,-43.4744858577388,5,76397.9846916199,29,-17.571765795756,620803.304430484
2,-0.378676774583528,12,-25.2868534986785,11,71023.9118652344,28,-24.7595849492157,972484.270782709
3,-0.159331879988023,17,-4.38155513482323,22,29681.3176193237,10,-29.0949792444603,1449454.80155623
4,-0.0147832425564817,29,-0.636372768982935,28,13815.332028389,3,-29.4811570289949,1635568.51476634
5,-0.612270093829789,5,-27.8293511343163,8,52550.1130390167,18,-21.4893534249217,791848.461422443
6,-0.0936150309758997,21,-2.11506035393022,24,22654.3348045349,6,-29.2949967663844,1518949.60551655
7,-0.0146793188276349,30,-0.276073406312482,31,22780.0621213913,7,-29.5268347250153,1718256.77686226
8,-0.013842091426002,31,-0.508184867119976,29,53244.6811356544,19,-29.5024378023249,1688813.19590199
9,-0.10572144176673,20,-6.66637156823473,16,26145.3654241562,8,-27.8142137635221,1230096.1230371
10,-0.423748502494784,11,-131.96854300086,1,172559.859415531,33,-5.52632089618342,172559.859415531
11,-0.628368856961333,3,-119.870877823111,2,169757.893442154,32,-10.5460393979887,342317.752857685
12,-0.0239182329251843,28,-1.31526040798724,25,28373.465903759,9,-29.3500746729165,1547323.07142031
13,-0.0438599495663623,25,-0.30652510753521,30,6663.51883888245,1,-29.5152738621044,1695476.71474087
14,-0.0113306339178665,32,-0.191533065134895,33,16575.6998291016,4,-29.5450589807214,1771115.6282655
15,-0.00902660201180542,33,-0.243662161127007,32,36283.1515741348,12,-29.5370383331027,1754539.9284364
16,-0.0558046772716639,23,-5.95429647218569,18,58244.5904434919,22,-28.3149792560787,1301951.29995024
17,-0.226876863227223,16,-17.0245645440843,14,67208.9576678276,26,-27.1487910565457,1145560.05528617
18,-0.453693534380961,10,-6.00398349006614,17,13610.5864696503,2,-28.0656368577459,1243706.70950675
19,-0.355393927109738,13,-22.3525355794991,12,66832.0277137756,25,-25.6956207775029,1039316.29849648
20,-0.233910452081438,15,-4.56926870882035,20,20188.2142181396,5,-28.7259603107819,1362477.89115202
21,-0.134918212457452,18,-5.24495887749202,19,40338.3769836426,15,-28.5346174000272,1342289.67693388
22,-0.540896560275296,8,-47.0529122085549,4,95538.4264240265,30,-15.7512261869729,544405.319738865
23,-0.124677600803883,19,-9.22392267436189,15,58390.7023267746,23,-27.53505247507,1203950.75761294
24,-0.0329389976514947,26,-1.27780668415448,26,41548.124710083,16,-29.4035841655528,1588871.19613039
25,-0.516625108104744,9,-31.4013599767889,7,55420.8746109009,20,-20.3239702115919,739298.348383426
26,-0.557335451245308,7,-34.3212814733737,6,63074.169342041,24,-19.0090053884433,683877.473772525
27,-0.249706231576327,14,-27.3094289939594,9,70323.0612018108,27,-22.632964354317,862171.522624254
28,-0.0885948600490575,22,-4.43061700141849,21,57295.5927848816,21,-28.9114970361344,1419773.48393691
29,-0.601744100398545,6,-17.6771417194564,13,39034.7991218567,13,-26.4358695932255,1078351.09761834
30,-0.830766081935061,1,-77.2469483123876,3,106549.140457153,31,-13.7808362284907,448866.893314838
31,-0.633637630584717,2,-25.4968463075012,10,39288.8362932205,14,-23.7006714861219,901460.358917474
32,-0.0328925186056243,27,-1.21606721001357,27,32881.9866075516,11,-29.4545082530743,1621753.18273795
33,-0.0549987423704466,24,-2.66135806961657,23,46840.4691557884,17,-29.2064263998044,1496295.27071202
